Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
137,1,0,0,0,0,1,1,0,0253,1,1,00,1,04b,58
138,0,1,0,0,1,1,1,1,03f1,0,1,00,1,04c,58
139,1,0,0,0,0,1,1,0,03f1,1,1,00,1,04c,58
140,0,1,0,0,1,1,1,1,0360,0,1,00,1,04d,58
141,1,0,0,0,0,1,1,0,0360,1,1,00,1,04d,58
142,0,1,0,0,1,1,1,1,00e4,0,1,00,1,04e,58
143,1,0,0,0,0,1,1,0,00e4,1,1,00,1,04e,58
144,0,1,0,0,1,1,1,1,00d3,0,1,00,1,04f,58
145,1,0,0,0,0,1,1,0,00d3,1,1,00,1,04f,58
146,0,1,0,0,1,1,1,1,03f5,0,1,00,1,050,58
147,1,0,0,0,0,1,1,0,03f5,1,1,00,1,050,58
148,0,1,0,0,1,1,1,1,03d9,0,1,00,1,051,58
149,1,0,0,0,0,1,1,0,03d9,1,1,00,1,051,58
150,0,1,0,0,1,1,1,1,0084,0,1,00,1,052,58
151,1,0,0,0,0,1,1,0,0084,1,1,00,1,052,58
152,0,1,0,0,1,1,1,1,01c8,0,1,00,1,053,58
153,1,0,0,0,0,1,1,0,01c8,1,1,00,1,053,58
154,0,1,0,0,1,1,1,1,00db,0,1,00,1,054,58
155,1,0,0,0,0,1,1,0,00db,1,1,00,1,054,58
156,0,1,0,0,1,1,1,1,0088,0,1,00,1,055,58
157,1,0,0,0,0,1,1,0,0088,1,1,00,1,055,58
158,0,1,0,0,1,1,1,1,007b,0,1,00,1,056,58
159,1,0,0,0,0,1,1,0,007b,1,1,00,1,056,58
160,0,1,0,0,1,1,1,1,03ea,0,1,00,1,057,58
161,1,0,0,0,0,1,1,0,03ea,1,1,00,1,057,58
162,0,1,0,0,1,1,1,1,00fa,0,1,00,1,058,58
163,1,0,0,0,0,1,1,0,00fa,1,1,00,1,058,58
164,0,1,0,0,1,1,1,1,0037,0,1,00,1,059,58
165,1,0,0,0,0,1,1,0,0037,1,1,00,1,059,58
166,0,1,0,0,1,1,1,1,01fc,0,1,00,1,05a,58
167,1,0,0,0,0,1,1,0,01fc,1,1,00,1,05a,58
168,0,1,0,0,1,1,1,1,03e3,0,1,00,1,05b,58
169,1,0,0,0,0,1,1,0,03e3,1,1,00,1,05b,58
170,0,1,0,0,1,1,1,1,0355,0,1,00,1,05c,58
171,1,0,0,0,0,1,1,0,0355,1,1,00,1,05c,58
172,0,1,0,0,1,1,1,1,01b8,0,1,00,1,05d,58
173,1,0,0,0,0,1,1,0,01b8,1,1,00,1,05d,58
174,0,1,0,0,1,1,1,1,00db,0,1,00,1,05e,58
175,1,0,0,0,0,1,1,0,00db,1,1,00,1,05e,58
176,0,1,0,0,1,1,1,1,01b4,0,1,00,1,05f,58
177,1,0,0,0,0,1,1,0,01b4,1,1,00,1,05f,58
178,0,1,0,0,1,1,1,1,03c3,0,1,00,1,060,58
179,1,0,0,0,0,1,1,0,03c3,1,1,00,1,060,58
180,0,1,0,0,1,1,1,1,0008,0,1,00,1,061,58
181,1,0,0,0,0,1,1,0,0008,1,1,00,1,061,58
182,0,1,0,0,1,1,1,1,0073,0,1,00,1,062,58
183,1,0,0,0,0,1,1,0,0073,1,1,00,1,062,58
184,0,1,0,0,1,1,1,1,00de,0,1,00,1,063,58
185,1,0,0,0,0,1,1,0,00de,1,1,00,1,063,58
186,0,1,0,0,1,1,1,1,0017,0,1,00,1,064,58
187,1,0,0,0,0,1,1,0,0017,1,1,00,1,064,58
