Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[6:0],byte_counter[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
126,6,0,0,0,0,1,1,0,03cd,0,1,00,1,46,218
127,7,0,0,0,0,1,1,0,03cd,0,1,00,1,46,218
128,0,1,0,0,1,1,1,1,01b0,0,1,00,1,47,216
129,1,0,0,0,0,1,1,0,01b0,1,1,00,1,47,216
130,2,0,0,0,0,1,1,0,01b0,0,1,00,1,47,217
131,3,0,0,0,0,1,1,0,01b0,0,1,00,1,47,217
132,4,0,0,0,0,1,1,0,01b0,1,1,00,1,47,217
133,5,0,0,0,0,1,1,0,01b0,0,1,00,1,47,218
134,6,0,0,0,0,1,1,0,01b0,0,1,00,1,47,218
135,7,0,0,0,0,1,1,0,01b0,0,1,00,1,47,218
136,0,1,0,0,1,1,1,1,0003,0,1,00,1,48,216
137,1,0,0,0,0,1,1,0,0003,1,1,00,1,48,216
138,2,0,0,0,0,1,1,0,0003,0,1,00,1,48,217
139,3,0,0,0,0,1,1,0,0003,0,1,00,1,48,217
140,4,0,0,0,0,1,1,0,0003,1,1,00,1,48,217
141,5,0,0,0,0,1,1,0,0003,0,1,00,1,48,218
142,6,0,0,0,0,1,1,0,0003,0,1,00,1,48,218
143,7,0,0,0,0,1,1,0,0003,0,1,00,1,48,218
144,0,1,0,0,1,1,1,1,003a,0,1,00,1,49,216
145,1,0,0,0,0,1,1,0,003a,1,1,00,1,49,216
146,2,0,0,0,0,1,1,0,003a,0,1,00,1,49,217
147,3,0,0,0,0,1,1,0,003a,0,1,00,1,49,217
148,4,0,0,0,0,1,1,0,003a,1,1,00,1,49,217
149,5,0,0,0,0,1,1,0,003a,0,1,00,1,49,218
150,6,0,0,0,0,1,1,0,003a,0,1,00,1,49,218
151,7,0,0,0,0,1,1,0,003a,0,1,00,1,49,218
152,0,1,0,0,1,1,1,1,03ed,0,1,00,1,50,216
153,1,0,0,0,0,1,1,0,03ed,1,1,00,1,50,216
154,2,0,0,0,0,1,1,0,03ed,0,1,00,1,50,217
155,3,0,0,0,0,1,1,0,03ed,0,1,00,1,50,217
156,4,0,0,0,0,1,1,0,03ed,1,1,00,1,50,217
157,5,0,0,0,0,1,1,0,03ed,0,1,00,1,50,218
158,6,0,0,0,0,1,1,0,03ed,0,1,00,1,50,218
159,7,0,0,0,0,1,1,0,03ed,0,1,00,1,50,218
160,0,1,0,0,1,1,1,1,001e,0,1,00,1,51,216
161,1,0,0,0,0,1,1,0,001e,1,1,00,1,51,216
162,2,0,0,0,0,1,1,0,001e,0,1,00,1,51,217
163,3,0,0,0,0,1,1,0,001e,0,1,00,1,51,217
